HS4,Trade Value,Year
Tool Plates,159557.00000000003,1996
Candles,1520241.0,2007
Bulbs and Roots,440949.0,2004
Railway Track Fixtures,65217.0,2016
Non-Retail Carded Wool Yarn,14332.0,2021
Acrylic Polymers,860570.0,1998
Preserved Fruits and Nuts,403370.0,1996
Small Iron Containers,337676.0,2007
Siliceous Fossil Meals,2946.0,1998
Non-Knit Women's Suits,1443306677.0,2017
Hot-Rolled Iron,15741688.0,2016
Other Processed Fruits and Nuts,15000083.0,2002
Cucumbers,673341.0,1995
Dyeing Finishing Agents,30513.0,1998
Forage Crops,13817.0,2012
Wood Frames,1063599.0,2014
Iron Chains,265767.0,2017
Pulley Systems,402008.0,2008
Other Uncoated Paper,1134278.0,1997
Explosive Ammunition,3108.0,1996
Detonating Fuses,358178.00000000006,2019
Stearic Acid,7945629.0,2014
Inorganic Compounds,2218.0,2021
Delivery Trucks,95760485.0,2009
Artificial Fur,239985.00000000003,2011
Alcohol > 80% ABV,1206382.0,1995
Cabbages,8616.0,1999
Undeveloped Exposed Photographic Material,115305.0,2003
Vegetable and Mineral Carvings,266363.0,2011
Artificial Vegetation,81780.0,2000
Prepared Paint Driers,401.0,2011
Sound Recording Equipment,385105.0,2012
"Sisal, Agave, raw, processed, not spun, tow and waste",26523.000000000004,1995
Polyamide Fabric,5460.0,1997
Leather of Other Animals,105253.0,2002
Ball Bearings,568810.0,2019
Organic Composite Solvents,61574.0,1995
Plywood,37814175.0,2007
Acrylic Polymers,102856.0,1995
Acyclic Alcohols,12956.0,2012
Carboxyimide Compounds,962.0,2020
Butter,390660.0,2016
Baby Carriages,8304.0,1998
"Other live plants, cuttings and slips;
mushroom spawn",6506448.0,2011
Laboratory Reagents,41988.0,2022
Acyclic Alcohols,2625.0,2005
Hard Liquor,133150.0,2004
Other Cutlery,14117.0,2022
Rolling Machines,70421.0,2002
Stone Working Machines,515184.0,2013
Motorcycles and cycles,113464.0,2022
Oscilloscopes,2637001.0,2014
Pearl Products,100769.0,2007
Artificial Fibers Waste,6034018.0,2014
Horses,179378.0,1998
Slag Dross,5739092.0,2013
Quaternary Ammonium Salts and Hydroxides,2549878.0,2003
Microscopes,42950.0,1998
Bandages,612803.0,2001
Refractory Cements,9644.0,2004
Raw Iron Bars,13346.0,1997
Steam Turbines,77702.0,1995
Electrical Control Boards,1902718.0,2002
Blank Audio Media,676802.0000000001,2001
Printed Circuit Boards,634288.0,2017
Polyamide Fabric,181461.0,2007
Nonaqueous Pigments,210299.0,2009
Other Nitrogen Compounds,6374.0,2000
Raw Cotton,364033.0,2012
Flexible Metal Tubing,110703.0,2016
Zinc Ore,36647553.0,2004
Sports Equipment,995251.0,2009
Percussion,13657.0,2011
Leather Machinery,498887.0,2003
Textile Processing Machines,554837.0,2006
Edible Offal,491.00000000000006,2001
Dictation Machines,65602.0,2006
Imitation Jewellery,448041.0,1997
Refractory Cements,2104.0,2006
Aluminium Cans,542952.0,2003
Lifting Machinery,260021.0,2000
Textile Fiber Machinery,1057896.0,2007
Cassava,40746.0,2001
Sulfate Chemical Woodpulp,403117.0,2015
Wood Barrels,23449.0,2008
Mill Machinery,214185.0,2015
Dental Products,439649.0,2002
Scrap Aluminium,5495227.0,1999
Pens,88166.0,2002
Drafting Tools,144425.0,2007
Cotton Waste,852910.0,2006
Amino-resins,3006566.0,2013
Baked Goods,725670.0,2001
Tug Boats,743775.0,2008
Footwear Parts,65921625.0,2009
Dried Vegetables,2201638.0,2016
Composite Paper,49339.0,2002
Other Aluminium Products,7071184.0,2008
Retail Artificial Filament Yarn,17639.0,1998
Cars,3416425.0,2006
Collector's Items,1057063.0,2006
Other Non-Knit Clothing Accessories,2904779.0,2014
"Other live plants, cuttings and slips;
mushroom spawn",1959775.0,1995
Sausages,820128.0,2010
Carbon-based Electronics,1390501.0,2006
Therapeutic Appliances,5547.999999999999,2005
Ferroalloys,1.0,2013
Metal Stoppers,68374.0,2000
Iron Pipes,1162675.0,2017
Revolution Counters,414653.0,2007
Pencils and Crayons,19242.0,1997
Flat-Rolled Iron,88864.0,2012
Garments of Impregnated Fabric,786952.0,2015
Citrus,526409542.0,2018
Casein,51.0,2004
Other Inedible Animal Products,1792395.0,2007
Bitumen and asphalt,211032.0,2020
Other Processed Fruits and Nuts,35092851.0,2019
Waxes,33963.0,2002
Cooking Hand Tools,52418.00000000001,1995
Fork-Lifts,123331.0,1998
Electrical Power Accessories,78064701.0,2005
Corn,247848.0,2021
Platinum,56329.0,2014
Honey,42695.0,2009
Ink,98445.0,2005
Dried Legumes,7315532.0,2004
Surveying Equipment,1130763.0,2014
Tropical Fruits,4313174.0,2010
Trunks and Cases,41525759.0,2016
Non-Retail Carded Wool Yarn,19887.0,2022
Iron Powder,130949.0,2018
Sunflower Seeds,74836.0,2022
Edible Offal,22334.0,2006
Industrial Printers,25083323.0,2021
Coated Metal Soldering Products,415078.0,1995
Other Rubber Products,325377.0,2002
Other Steel Bars,106130.0,2022
Granite,169684.0,2003
Excavation Machinery,7432260.0,2019
Forage Crops,18416.0,2011
Narrow Woven Fabric,1372285.0,2000
Artificial Textile Machinery,307587.0,1999
Precipitated Copper,3419919.0000000005,2012
Cereal Flours,56856.0,2005
Processed Crustaceans,37174196.0,2002
Raw Tobacco,1614800.0000000002,2019
Kraft Paper,1863845.0,2014
Equine and Bovine Hides,21.0,2021
Halogens,3473.9999999999995,2004
Polyamide Fabric,85006.0,1996
Processed Tomatoes,9993780.0,2017
Densified Wood,16733.0,2009
Soap,1510377.0,2006
Shaving Products,343478.0,2005
Other Processed Fruits and Nuts,14338895.0,2000
Honey,24660.0,2002
Watch Cases and Parts,3859.0,2002
Tomatoes,144317217.0,1999
Vegetable Saps,34701169.0,2003
Iron Pipe Fittings,1747219.0,2017
Gum Coated Textile Fabric,68855.0,2021
Other Knit Clothing Accessories,3046355.0,2021
Antiques,348786.0,2021
Other toys,14296084.0,2012
Work Trucks,41010.0,2010
Ink,143271.0,1999
Candles,1716095.0,2008
Centrifuges,2131638.0,1999
"Bovine, Sheep, and Goat Fat",105464.0,2015
Flavored Water,11826529.0,2017
Dyeing Finishing Agents,133939.0,2017
Organic Composite Solvents,438587.0,2014
Reaction and Catalytic Products,50642.99999999999,2022
Metal Lathes,203956.0,2011
Metal Office Supplies,1432.0,2000
Window Dressings,451271.0,2021
Retail Artificial Staple Fibers Yarn,12147.0,2016
Fish Fillets,60049655.0,2022
Glues,1004010.0,2020
Disc Chemicals for Electronics,231.0,2005
Bananas,246980.0,1996
Borates,8179.0,2014
Artificial Fibers Waste,2054723.0,2001
Cucumbers,6617714.0,2012
Textile Footwear,3064522.0,2001
Precious Stone Dust,9260.0,2022
Printed Circuit Boards,1727484.0,2019
Monofilament,1713172.0000000002,2008
Enzymes,43006.0,1997
Undeveloped Exposed Photographic Material,109.0,2016
Scrap Vessels,2056492.0,2018
Opto-Electric Instrument Parts,381548.0,2018
Wrenches,96766.0,2015
Coral and Shells,496272.0,2009
Seats,1380058.0,1995
Nickel Bars,8350.0,2012
Other Fermented Beverages,12005.0,2021
Vinyl Chloride Polymers,6605402.0,1999
Root Vegetables,22927.0,1995
Rubber Inner Tubes,47362.0,2009
Narrow Woven Fabric,688453.0,2010
Artistry Paints,917.0,2020
Other Copper Products,4562513.0,2007
Other Stainless Steel Bars,141520.0,2018
Rough Wood,304120.0,2005
Small Iron Containers,218495.0,2000
Pesticides,1197779.0,1997
Garments of Impregnated Fabric,1646847.0,2011
Non-Knit Gloves,510678.0,2020
Non-Retail Artificial Staple Fibers Yarn,1011492.0,2012
Book-binding Machines,2218.0,2004
Processed Egg Products,3021.0,2010
Knit Active Wear,23997092.0,2002
Nitrile Compounds,4647.0,2009
Friction Material,9460842.0,2014
Rubber Tires,842189.0,2022
Artificial Filament Yarn Woven Fabric,2304576.0,2008
Other Inorganic Acids,7548029.0,2016
Iron Oxides and Hydroxides,2072.0,1995
Other Oily Seeds,1091910.0,2021
Bird Skins and Feathers,1187.0,2007
Ornamental Trimmings,469602.0,2003
Rosin,1156.0,2003
Other Uncoated Paper,794436.0,2008
Disc Chemicals for Electronics,200.0,2008
Watch Cases and Parts,90127.0,1995
"Non-Iron and Steel Slag, Ash and Residues",8067322.0,2019
Antifreeze,16745.0,2005
Cast Iron Pipes,21444.0,2005
Other Electrical Machinery,12801406.0,2013
Asbestos,939.0,2005
Leather Sheets,49587.0,1999
Whey and other milk products,376907.0,2013
Other Lead Products,19775.0,2021
Narrow Woven Fabric,2575284.0,2005
Animal Food,55.0,2006
Rubber Tires,28159497.0,1995
House Linens,16089051.0,2004
Spices,9958380.0,2021
Decals,151231.99999999997,2011
Densified Wood,1413.0,2002
Nonaqueous Paints,13574163.0,2019
Platinum,45891.0,2010
Microphones and Headphones,124825.0,1996
Tanned Furskins,1503323.0,2015
Raw Cotton,133834.0,2009
Railway Cargo Containers,3197366.0,2013
Newspapers,397220.0,2007
Sulfate Chemical Woodpulp,51352216.0,2003
Starch Residue,3.0,2014
Non-Knit Active Wear,61065952.0,1997
Edible Offal,1819.0,2015
Video Recording Equipment,3424659.0,2003
Hose Piping Textiles,1303.0000000000002,2006
Artificial Textile Machinery,259866.0,2003
Felt,25502.0,1999
Wool,4767473.0,2011
Wood Charcoal,188108.0,2014
Vanilla,460291.0,2019
Steel Wire,10631.0,2003
Honey,764.0,1999
Polyacetals,30996816.0,2020
Narrow Woven Fabric,1341205.0,2004
Other Mineral,2389769.0,2021
Railway Maintenance Vehicles,66128.0,2016
Fish Fillets,37820250.0,2015
Hand Tools,71260.0,1998
Other Aluminium Products,870418.0,2001
Glazed Ceramics,234453.0,2018
Electric Generating Sets,7536664.0,2018
Smoking Pipes,105241.0,2019
Potatoes,26747438.0,2019
Photographic Film,6589.0,2011
Passenger and Cargo Ships,4001217.0,2011
Textiles for technical uses,59175937.0,2006
Sawn Wood,170745.0,2016
Precious Stones,2623064.0,2022
Other Precious Metal Products,14842048.0,2002
Nickel Powder,1365715.0,2020
Melons,197972293.0,2018
Asphalt,171686.0,2011
Prepared Paint Driers,64154.0,2018
Knit Men's Suits,19141138.0,2002
Coral and Shells,685534.0,2019
Tulles and Net Fabric,9080684.0,2022
Cast Iron Pipes,57900.99999999999,2001
Rough Wood,324468.0,2021
Vegetable Saps,49084453.0,1995
Woven Fabric of Synthetic Staple Fibers,4026719.0,2009
Other Processed Fruits and Nuts,22026234.0,2015
Metal-Rolling Mills,645235.0,2011
Hops,79871.00000000001,2008
Metalworking Machines,675890.9999999999,2003
Molluscs,588441885.0,2008
Aluminium Oxide,6018.0,2015
Special purpose motor vehicles,9219901.0,2017
Hand Tools,158427.0,2009
Sorghum,5428.999999999999,2018
Dictation Machines,6741.999999999999,2007
Cheese,101663892.0,2008
Glues,1107073.0,2018
Bandages,1916952.0,2005
Raw Copper,5743935.0,2013
Hot-Rolled Iron Bars,36139.0,1995
Rolled Tobacco,2794.0,2005
Video Displays,437932.0,1999
Drilling Machines,5636.0,2001
Alkaline Metals,52923.0,2021
Nonaqueous Pigments,533892.0,2020
Dried Legumes,13490405.0,1998
Toilet Paper,8901440.0,2005
Knit Active Wear,29333745.000000004,2000
Bismuth,32698.0,2016
Retail Cotton Yarn,7209.0,2000
Oil Seed Flower,66468.0,2014
Sculptures,596553.0,2010
Ethylene Polymers,548831.0,2005
Sausages,782478.0,2014
Copper Housewares,444012.0,1998
Semiconductor Devices,340350235.0,2016
Silicates,14325.0,2016
Tobacco Processing Machines,84562.0,2003
Animal Food,38655.0,1997
Stranded Iron Wire,593334.0,2015
Jams,104969.0,2005
Broadcasting Accessories,3497551.0,2014
Other Processed Vegetables,144120539.0,2013
Glycerol,16794.0,2009
Basketwork,5560380.0,2011
Asbestos Fibres,4208.0,2009
Other Firearms,4848.0,1998
Corn,23158.0,1995
Alcohol > 80% ABV,1180627.0,2015
Zinc Powder,373443.0,2021
Jewellery,2462144.0,1998
Wood Frames,1181756.0,2017
Light Mixed Woven Cotton,961825.0,2003
Electric Heaters,1338770.0,2009
Artistry Paints,1150.0,2004
Garnetted Wool or Animal Hair,8285.0,2004
Sulfuric Acid,455142.0,2008
Cars,68955492.0,2007
Other Electrical Machinery,984164.0,2000
Silver Clad Metals,141.0,2009
Rolling Machines,116622.0,2008
Glass Beads,1804919.0,1995
Hose Piping Textiles,177114.0,2019
Cement,12254379.0,1996
Time Switches,30007.0,2012
Other Vegetable Residues and Waste,4604.0,2014
Liquid Fuel Furnaces,26371.0,2010
Lead Bars,738749.0,2009
Horsehair Fabric,2346.0,2021
Fish oil,3033727.0,1998
Glass Scraps,6294.0,1997
Margarine,2245409.0,2004
Recreational Boats,576895.0,2018
Leather Machinery,630151.0,2013
Stranded Aluminium Wire,4060472.0,2007
Sound Recording Equipment,217334.00000000003,2022
Window Dressings,2371529.0,2010
Quartz,78679.0,2013
Lubricating Products,1560634.0,2017
Textile Scraps,28772.0,1995
Veneer Sheets,377496.0,2013
Other Articles of Twine and Rope,38225.0,2006
Photographic Chemicals,76476.0,2019
Aluminium Bars,37709435.0,2018
Scrap Nickel,127893.0,2013
Other Processed Fruits and Nuts,29713853.0,2017
Casting Machines,91985.0,2008
Vegetable Tanning Extracts,7159.0,2019
Orthopedic Appliances,131820.0,1999
Wheelchairs,2835.0,2013
Plastic Building Materials,57217.0,1996
Animal Food,2412017.0,2011
Metal-Clad Products,71239.0,1997
Glass Fibers,519544.0,2003
Centrifuges,11983907.0,2012
Rice,1845100.0,2011
Watch Movements,5318.0,1998
Railway Cargo Containers,51206.0,2002
Pickled Foods,12012742.0,2002
Cooking Hand Tools,63595.0,2009
Dictation Machines,74833.0,2005
Tin Plating,21770.0,1995
Seats,27383270.0,2009
Electrical Resistors,2235842.0,2008
Other Fermented Beverages,8876.0,2010
Gas and Liquid Flow Measuring Instruments,4196665.0,2020
Inedible Fats and Oils,114.0,2007
Hops,369.0,2012
Mixed Mineral or Chemical Fertilizers,1858749668.0,2014
Zinc Oxide and Peroxide,13132737.0,2012
Wood Barrels,117099.0,2004
Non-Knit Active Wear,199323769.0,2008
Utility Meters,1023302.0,2015
Dextrins,183178.0,2007
Semi chemical Woodpulp,10543536.0,2010
Silk Fabrics,40173.0,2017
Other Steel Bars,11241.0,1996
Gauze,5893.0,2004
Cameras,103812.0,1999
Unpackaged Medicaments,138076.0,1998
Carboxyamide Compounds,1097.9999999999998,2019
Potatoes,13780772.0,1998
Aircraft Launch Gear,3.0,2003
Petroleum Jelly,78524.0,2021
Iron Chains,237109.0,2016
Cigarette Paper,35561.0,2019
Polyamide Fabric,8247.0,2017
Quicklime,136754.0,2011
Plastic Housewares,6229911.0,2012
Rolling Machines,30712.0,1995
Seats,10398391.0,2002
Batteries,1006178.0,2009
Other Floating Structures,172601.0,2016
Worked Ivory and Bone,858733.0,2017
"Industrial Fatty Acids, Oils and Alcohols",5543123.0,2022
Live Fish,7214296.999999999,1999
"Sulfonated, Nitrated or Nitrosated Hydrocarbons",8480.0,2001
Grapes,17851153.0,2015
Soldering and Welding Machinery,99995.0,2007
Surveying Equipment,6366248.0,2018
Hats,63423.0,2020
Cars,3819767483.0,2020
Worked Ivory and Bone,1664407.0,2014
Nitrites and Nitrates,22766.0,2020
Electric Batteries,8156642.0,2016
Ketones and Quinones,102118.0,2021
Scrap Iron,40678776.0,2003
Polishes and Creams,128197.0,2022
Other Articles of Twine and Rope,8494.0,2005
Sauces and Seasonings,1052427.0,2012
Petroleum Coke,48761423.0,2012
Other Vegetable Residues and Waste,81650.0,2000
Metal Signs,637188.0,2008
Other Fruits,59977261.0,2004
Palm Oil,2809723.0,2004
Calculators,138913.0,2008
Cassava,2156.0,1999
Carbon Paper,204012.0,1997
Other Inorganic Acids Salts,116977.0,2010
"Sisal, Agave, raw, processed, not spun, tow and waste",87189.0,2007
Other Carbon Paper,584165.0,1999
Copper Stovetops,1311.0,2007
Binoculars and Telescopes,244850.0,2016
Cheese,131044717.0,2014
Bladed Weapons and Accessories,5154.0,1995
Metal-Rolling Mills,240037.0,2013
Other Fruits,372372498.0,2017
Special Purpose Ships,433660.0,2006
Video Displays,2329394.0,2008
Shaped Wood,171867.0,2010
Electric Soldering Equipment,190335.0,2004
Vehicle Bodies (including cabs) for the motor vehicles (8701 to 8705),19987380.0,2017
Other Nickel Products,33861.00000000001,2011
Vacuum Flask,18602.0,2002
Unprocessed Artificial Staple Fibers,20983.0,2021
Ethylene Polymers,2093648.0,2013
Seats,46946155.0,2011
Scissors,1171.0,2002
Brochures,1524069.0,2019
Non-Knit Women's Undergarments,16370867.0,2020
"Sisal, Agave, raw, processed, not spun, tow and waste",127331.0,2008
Nickel Powder,2121636.0,2014
Non-Knit Women's Suits,1045515872.0,2010
Tensile Testing Machines,275342.0,2019
Industrial Furnaces,260132.0,2015
Engine Parts,12190323.0,2010
Narrow Woven Fabric,545288.0,1998
Coal Tar Oil,425884967.0,2014
Debacked Cork,190187.0,2020
Textile Scraps,3924268.0,2013
Non-Retail Artificial Staple Fibers Yarn,87782.0,2017
Surveying Equipment,762120.0,2021
Large Coated Flat-Rolled Iron,3367814.0,2013
Coal Briquettes,799.0,2019
Industrial Food Preperation Machinery,4288879.0,2013
Woodworking machines,443564.0,2017
Ceramic Bricks,969565.0,2002
Felt Hats,57.99999999999999,2010
Buttons,547572.0,2015
Rosin,81.99999999999999,2019
Soybean Meal,2486712.0,2008
Crustaceans,37838215.0,1997
Sodium or Potassium Peroxides,54510.00000000001,2000
Rice,451592.0,2020
Scarves,10561735.0,1996
Tractors,200509.0,2002
Platinum,1473.0,2008
Cinnamon,2372.0,2022
Iron Structures,1783378.0,2000
Raw Aluminium,454245.0,2007
Quicklime,1159913.0,2018
Motorcycles and cycles,359459.0,2009
Percussion,108046.0,2002
Knit Gloves,656046.0,1995
Metal Finishing Machines,672.0,2007
Borates,6182.0,2018
Rubber Sheets,2076264.0,2010
Plastic Building Materials,1544074.0,2017
Non-Retail Carded Wool Yarn,72196.0,2014
Artificial Textile Machinery,26827.0,2000
Textile Scraps,4521245.0,2022
Bedspreads,56974399.0,2020
Additive manufacturing machines,8044997.0,2018
Processed Bones,5968.0,1999
Silk Fabrics,406377.0,2008
Chamois Leather,163928.0,1998
Other Musical Instruments,102253.0,2018
Brooms,3465959.9999999995,2020
Leather of Other Animals,403504.0,2003
Liquid Dispersing Machines,4480666.0,2014
Amino-resins,295071.0,2005
Animal Meal and Pellets,151075154.0,2018
Articles of Gut,2794.0,2006
Unvulcanised Rubber Products,1229.0,2003
Self-adhesive Plastics,836907.0,2019
Household Washing Machines,133036.0,2002
Mattresses,2712080.0,2013
Coated Flat-Rolled Iron,71199392.0,2009
Aqueous Paints,2441570.0,2019
Other Large Iron Pipes,120312.0,1996
Frozen Fruits and Nuts,16397664.0,1998
Rubber Belting,166562.0,2012
Safety Glass,75235.0,1998
Scrap Nickel,54551.0,2009
Safes,119218.0,2020
Cobalt Ore,6983.0,2008
Rubber Apparel,1394710.0,2021
Ceramic Tableware,962425.0,2001
Animal Extracts,440337.0,2005
Tungsten,2084.0,1999
Cereal Meal and Pellets,757994.0,2008
Weapons Parts and Accessories,151926.00000000003,2015
Porcelain Tableware,473082.0,1998
Other Stainless Steel Bars,287912.0,2017
Other Non-Knit Clothing Accessories,1858935.0,2015
Nickel Pipes,255600.0,2013
Microscopes,19783.0,2008
Silk Fabrics,2405.0,1995
Processed Hair,255.0,2012
Synthetic Tanning Extracts,19041.0,2013
Non-Retail Combed Wool Yarn,866941.0,2006
Chlorides,105.0,2003
Stone Processing Machines,5502929.0,2004
Eyewear,138307.0,2011
Bells and Other Metal Ornaments,1065683.0,2021
Animal or Vegetable Fertilizers,63912.0,2006
Hand Saws,655.0,1997
Coal Tar Oil,197.0,2019
Tractors,11353435.0,2006
Leather Machinery,380870.0,2000
Phosphinates (hypophosphites) and phosphonates (phosphites),27328963.0,2014
Quilted Textiles,452944.0,2021
Gravel and Crushed Stone,1941627.0,2000
Steam Boilers,383455.0,1996
Cooking Hand Tools,149202.0,2002
Sculptures,36242.0,2001
Electric Heaters,123233.0,2001
Activated Carbon,446922.0,2020
Rubber Apparel,193048.0,1996
Wood Carpentry,1335390.0,1998
Other Precious Metal Products,25895212.0,2005
Knit Active Wear,19203005.0,2011
Leather Used in Machinery,16420.0,2003
Diamonds,368999.00000000006,2007
Calcium Phosphates,1019866956.0,2007
Non-Knit Men's Suits,446783763.0,2018
Terry Fabric,4652.0,2006
Video Recording Equipment,974143.0,2014
Fishing Ships,294524.0,2000
Pharmaceutical Animal Products,90831.0,1996
Other Engines,975156.0,2013
Natural Sponges,98.0,2005
Woven Fabrics,4185551.0,2008
Fuel Wood,7298.0,2002
Wood Charcoal,55035.0,2019
Other Nitrogen Compounds,3984692.0,2021
Stainless Steel Wire,550.0,2019
Saturated Acyclic Monocarboxylic Acids,164109.0,2019
Wood Stakes,3402.0000000000005,2001
Non-Retail Synthetic Staple Fibers Yarn,11844787.0,2005
Aluminium Plating,72602.0,2004
Yeast,2497545.0,2002
Packaged Sewing Sets,56371.0,2002
Soap,1682203.0,2002
Copper Pipe Fittings,152731.0,2022
Coated Flat-Rolled Iron,10107448.0,1995
Textile Footwear,7451982.0,2009
Iron Pipes,296445.0,1996
Eyewear,201881.0,2013
Bricks,584346.0,2022
Felt Hats,4481.0,1995
Frozen Vegetables,5206750.0,2014
Cheese,95957877.0,2011
Hydraulic Brake Fluid,35854.0,2004
Wood Carpentry,1528954.0,2004
Radio Receivers,1400215.0,2008
Other Knit Clothing Accessories,1486845.0,2019
Unpackaged Medicaments,1005822.0,2009
Artificial Vegetation,19469.0,2009
Railway Track Fixtures,20222.0,2021
Interior Decorative Glassware,2418850.0,2018
"Other live plants, cuttings and slips;
mushroom spawn",7039296.0,2013
Metalworking Machines,12995.0,1997
Margarine,11740906.0,2022
Antiknock,1783707.9999999998,2010
Poultry Meat,3520891.0,2018
Acyclic Alcohols,75867.0,1995
Light Fixtures,18024239.0,2011
Processed Bones,27272.0,1997
Travel Kits,63299.99999999999,2001
Party Decorations,19480.0,2020
Liquid Dispersing Machines,454645.0,1997
Other Wood Articles,1375344.0,2017
Central Heating Boilers,262263.0,2009
Ground Nuts,131.0,2001
Heavy Synthetic Cotton Fabrics,1815288.0,2000
Papermaking Machines,55766.0,2020
Vinegar,57491.0,1998
Raw Zinc,246489.0,2014
Flax Woven Fabric,832648.0,2007
Knit Women's Coats,3556986.0,2000
Ice Cream,59086.0,2002
Vegetable waxes and beeswax,1605.0,2011
Fish oil,2190199.0,2000
Milk,706700.0,2014
Calcium Phosphates,512878706.0,2000
Oxometallic or Peroxometallic Acid Salts,100947.0,2000
Cotton Sewing Thread,567969.0,1998
Iron Stovetops,851069.0,1999
Signaling Glassware,38534.0,2019
Plaiting Products,262054.0,2017
Portable Lighting,89937.99999999999,2005
Cabbages,18821475.0,2022
Aqueous Paints,3800502.0,2020
"Locust beans, seaweed, sugar beet, cane, for food",62149722.0,2014
Polyamides,1272718.0,2021
Large Coated Flat-Rolled Iron,1451981.0,2014
Telephones,1320242.0,1996
Nickel Mattes,2521186.0,2007
Small Iron Containers,4041645.0,2012
Newspapers,4572437.0,1997
Zinc Bars,57.99999999999999,2010
Other Cloth Articles,87397532.0,2013
Sports Equipment,3332486.0,1998
Embroidery,2165586.0,2009
Large Aluminium Containers,28063.0,2018
Motor vehicle (8701 to 8705) chassis fitted with engine,730.0,2015
Large Iron Containers,1929346.0,2012
Textile Fiber Machinery,100283.0,2001
Ink Ribbons,2224778.0,2007
Aluminium Gas Containers,1843.0,2017
Wheat,21132.0,1999
Other Clocks and Watches,48109.0,2005
Eyewear and Clock Glass,6275.0,2006
Photographic Paper,2030.0,2012
Other Fermented Beverages,5044.0,2014
Other Cast Iron Products,7857059.0,2020
Valves,48037277.0,2018
Inorganic Compounds,6442.0,2005
Fire Extinguishers Preparations,3718.0,2020
Neck Ties,4559347.0,2004
Other Vegetable Residues,514264.0,2018
Harvesting Machinery,4045.0,1995
Disc Chemicals for Electronics,121.0,2022
Wheat,11768.0,2020
Lead Oxides,35193.0,2014
Electric Motors,9177760.0,2005
Dried Vegetables,8986078.0,2001
Iron Nails,471419.0,2014
Iron Springs,508381.0,2014
Radio Receivers,206559.0,2018
Metal Finishing Machines,176998.0,2019
Wine,7550826.0,2016
Textiles for technical uses,3877116.0,2020
Metal-Clad Products,60918.0,2014
Steel Ingots,122.0,2010
Non-Knit Women's Coats,172078449.0,2008
Silicates,2002.0,2005
Grapes,20799510.0,2014
"Nutmeg, mace and cardamons",648.0,1999
Headbands and Linings,2079089.0,1997
Retail Silk Yarn,8772.0,2011
Butter,39472.0,2003
Potassic Fertilizers,189292.0,2010
Copper Wire,292205.0,2006
Special Pharmaceuticals,2840582.0,2015
Tomatoes,864053791.0,2020
Wrenches,111703.0,2014
Garments of Impregnated Fabric,2447384.0,2008
Interior Decorative Glassware,1038592.0,2002
Propellant Powders,438724.0,2013
Other Furniture,36779705.0,2014
Grapes,3217329.0,2002
Fish oil,64745092.0,2021
Phenol Derivatives,1605.9999999999998,2001
Vegetable Tanning Extracts,9.000000000000002,2008
Fishing Ships,10572057.0,2007
Zinc Ore,40260660.0,2001
Other Steel Bars,468408.0,2014
Vinegar,608128.0,2017
Slag Dross,1134817.0,2011
Felt or Coated Fabric Garments,21968637.0,2003
Beer,725047.0,2005
Tanned Equine and Bovine Hides,3413709.0,2004
Lake Pigments,22195.0,2012
Coconut and Other Vegetable Fibers,44492.0,1995
Hand-Woven Tapestries,150497.0,2019
Pepper,4362360.0,2017
Raw Bones,14562.0,1999
Petroleum Gas,116800725.0,2015
Cyclic Hydrocarbons,52075.0,2016
Watch Cases and Parts,19482.0,1999
Zirconium,20.0,2022
Photographic Chemicals,111650.0,2017
Cereal Straws,184.0,2000
Breathing Appliances,3670.0,2007
Olive Oil,320779.00000000006,2006
Insect Resins,146410.0,2012
Cloves,95306.0,2017
Silver Clad Metals,101868.0,2010
Uncoated Paper,290879.0,1996
Insulating Glass,871.0,2008
Special purpose motor vehicles,362628.0,1999
Potato Flours,38174.0,2008
Metal Insulating Fittings,167466.0,1997
Hydrogen peroxide,7911.0,2015
Unglazed Ceramics,312117.0,2002
Bulbs and Roots,3183131.0,2008
Chlorates and Perchlorates,4301.0,2019
Micro-Organism Culture Preparations,9154.0,2000
Iron Wire,630799.0,2006
Carboxylic Acids,7600.0,2015
Plastic Building Materials,772052.0,2003
Other Heating Machinery,3028209.0,2021
"Nutmeg, mace and cardamons",59286.0,2017
Other Paper Machinery,963117.0,2012
Chalkboards,27383.0,2003
Other Esters,22920.0,2016
Vegetable Stuffing Materials,685786.0,1996
Coated Textile Fabric,177330.00000000003,2000
Cutting Blades,343419.0,2019
Felt Hats,9594.0,2001
Graphite,4757.0,2013
Hops,127.0,2017
Radio Receivers,205910.0,2016
Non-Knit Babies' Garments,21514886.0,2014
Metal Finishing Machines,54007.0,2018
Coated Flat-Rolled Iron,29680720.0,2015
Animal Organs,23048556.0,2013
Unprocessed Synthetic Staple Fibers,373094.0,2003
Detonating Fuses,145097.0,2014
Synthetic Tanning Extracts,19957.0,2021
Narrow Woven Fabric,1364623.0,2012
Knitting Machine Accessories,318502.0,2004
Phosphoric Acid,1699390300.0,2015
Non-Retail Silk Yarn,142.0,2010
Other Mineral,13247213.0,1997
Light Fixtures,14444826.0,2013
Phosphoric Acid,1198398504.0,2016
Lettuce,3609260.0,2006
"Fish: dried, salted, smoked or in brine",5024995.0,2006
Nitrites and Nitrates,54409.0,2012
Calculators,92873.0,2002
Audio and Video Recording Accessories,4244.0,2021
Tensile Testing Machines,10633.0,1995
Dolls,59494.0,1996
Metal Signs,68643.0,2000
Documents of title (bonds etc) and unused stamps,57956.0,2003
Wood Fiberboard,37701.0,1999
